url_length,host_length,path_length,num_dots,num_hyphens,num_digits,num_slashes,has_at_symbol,has_raw_ip,digit_ratio,label
93,25,68,4,3,2,6,0,0,0.022,1
175,25,150,5,11,7,5,0,0,0.04,1
31,14,17,1,1,0,3,0,0,0.0,0
23,7,16,2,0,1,2,0,0,0.043,0
138,25,113,4,7,6,5,0,0,0.043,1
21,19,2,3,0,15,1,0,0,0.714,1
14,7,7,1,0,0,1,0,0,0.0,0
81,25,56,4,3,2,5,0,0,0.025,1
64,13,51,2,0,8,5,0,0,0.125,0
19,12,7,3,0,12,1,0,1,0.632,1
20,15,5,3,0,12,1,0,1,0.6,1
98,14,84,1,8,45,3,0,0,0.459,1
48,9,39,2,1,0,4,0,0,0.0,0
71,34,37,2,4,24,1,0,0,0.338,1
18,11,7,1,1,0,2,0,0,0.0,0
33,17,16,2,0,5,2,0,0,0.152,1
28,9,19,1,0,0,2,0,0,0.0,0
73,14,59,1,5,0,4,0,0,0.0,0
28,7,21,2,0,0,3,0,0,0.0,0
15,11,4,1,0,0,2,0,0,0.0,0
28,21,7,4,0,17,1,0,0,0.607,1
15,10,5,1,0,0,1,0,0,0.0,0
36,21,15,2,0,1,2,0,0,0.028,1
61,43,18,3,1,23,1,0,0,0.377,1
25,10,15,1,1,0,2,0,0,0.0,0
18,13,5,1,0,1,1,0,0,0.056,0
33,12,21,2,0,0,1,0,0,0.0,0
25,18,7,4,0,14,1,0,0,0.56,1
145,25,120,5,5,6,6,0,0,0.041,1
16,10,6,1,0,0,1,0,0,0.0,0
21,10,11,1,0,0,2,0,0,0.0,0
31,14,17,4,0,11,2,0,1,0.355,1
174,18,156,3,0,94,4,0,0,0.54,1
15,7,8,1,0,0,2,0,0,0.0,0
19,12,7,3,0,11,1,0,1,0.579,1
39,17,22,1,2,0,2,0,0,0.0,0
